"model","mode","threshold","top_n","flag","scenario","precision","recall","f1","accuracy","codes_emitted","tp","fp","fn","sim_pairs_kept","icd9_with_any_sim"
"ClinicalBERT","absolute",0.8,5,2,"top cosine or in both lists",0.411,0.424,0.417,0.263,967,397,570,540,551755,354
"ClinicalBERT","absolute",0.8,5,3,"top co-occurrence or in both lists",0.405,0.329,0.363,0.222,760,308,452,629,551755,354
"ClinicalBERT","absolute",0.8,5,4,"any of the three",0.409,0.428,0.418,0.265,980,401,579,536,551755,354
"ClinicalBERT","absolute",0.8,10,1,"top cosine or top co-occurrence",0.584,0.365,0.449,0.29,586,342,244,595,551755,354
"ClinicalBERT","absolute",0.8,10,2,"top cosine or in both lists",0.318,0.475,0.381,0.235,1398,445,953,492,551755,354
"ClinicalBERT","absolute",0.8,10,3,"top co-occurrence or in both lists",0.309,0.401,0.349,0.212,1216,376,840,561,551755,354
"ClinicalBERT","absolute",0.8,10,4,"any of the three",0.318,0.479,0.382,0.236,1412,449,963,488,551755,354
"ClinicalBERT","absolute",0.8,15,1,"top cosine or top co-occurrence",0.584,0.365,0.449,0.29,586,342,244,595,551755,354
"ClinicalBERT","absolute",0.8,15,2,"top cosine or in both lists",0.276,0.508,0.358,0.218,1722,476,1246,461,551755,354
"ClinicalBERT","absolute",0.8,15,3,"top co-occurrence or in both lists",0.269,0.446,0.336,0.202,1555,418,1137,519,551755,354
"ClinicalBERT","absolute",0.8,15,4,"any of the three",0.276,0.512,0.359,0.219,1736,480,1256,457,551755,354
"ClinicalBERT","absolute",0.8,20,1,"top cosine or top co-occurrence",0.584,0.367,0.451,0.291,589,344,245,593,551755,354
"ClinicalBERT","absolute",0.8,20,2,"top cosine or in both lists",0.251,0.528,0.34,0.205,1970,495,1475,442,551755,354
"ClinicalBERT","absolute",0.8,20,3,"top co-occurrence or in both lists",0.244,0.472,0.322,0.192,1810,442,1368,495,551755,354
"ClinicalBERT","absolute",0.8,20,4,"any of the three",0.252,0.533,0.342,0.206,1984,499,1485,438,551755,354
"ClinicalBERT","absolute",0.8,25,1,"top cosine or top co-occurrence",0.585,0.368,0.452,0.292,590,345,245,592,551755,354
"ClinicalBERT","absolute",0.8,25,2,"top cosine or in both lists",0.235,0.553,0.33,0.197,2208,518,1690,419,551755,354
