"track","track_label","icd9","group","partners","mean","sd","min","q1","median","q3","max","total","icd9_label","ccs_id","ccs_category"
"10_9","ICD-9-CM to ICD-10-CA","204","has a reference match",397,104.614609571788,444.987685776912,7,13,28,67,7880,41532,"lymphoid leukemia","28","multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","205","has a reference match",408,122.970588235294,519.580022349034,7,13,27,77.25,8384,50172,"myeloid leukemia","28","multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","206","has a reference match",138,38.7246376811594,109.243501409616,7,10,14,27.75,1095,5344,"monocytic leukemia","28","multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","207","has a reference match",10,12.6,6.81827609362432,7,10.25,11,12,31,126,"other specified leukemia","28","multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","208","has a reference match",328,74.484756097561,260.540346085144,7,10.75,19.5,42,3258,24431,"leukemia of unspecified cell type","28","multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","225","has a reference match",153,43.5424836601307,109.114798729071,7,10,17,33,1063,6662,"benign neoplasm of brain and other parts of nervous system","29","other and unspecified benign neoplasm"
"10_9","ICD-9-CM to ICD-10-CA","230","has a reference match",277,103.938628158845,286.091945521565,7,13,25,70,2738,28791,"carcinoma in situ of digestive organs","4","cancer of other gi organs peritoneum"
"10_9","ICD-9-CM to ICD-10-CA","231","has a reference match",192,81.6197916666667,311.304746608029,7,12,20.5,46,3647,15671,"carcinoma in situ of respiratory system","9","lung and other respiratory cancer"
"10_9","ICD-9-CM to ICD-10-CA","233","has a reference match",253,77.1541501976285,217.891455685812,7,12,19,53,1913,19520,"carcinoma in situ of breast and genitourinary system","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","234","has a reference match",60,26.1,34.285293580954,7,9,14.5,28,175,1566,"carcinoma in situ of other and unspecified sites","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","237","has a reference match",141,36.063829787234,62.217155737667,7,9,16,32,404,5085,"neoplasm of uncertain behavior of endocrine glands and nervous system","30","neoplasms of unspecified nature"
"10_9","ICD-9-CM to ICD-10-CA","238","has a reference match",411,67.9416058394161,149.439053557451,7,12,23,60,1601,27924,"neoplasm of uncertain behavior of other and unspecified sites and tissues","30","neoplasms of unspecified nature"
"10_9","ICD-9-CM to ICD-10-CA","240","has a reference match",29,31.6896551724138,44.246148701066,7,8,16,34,226,919,"simple and unspecified goiter","31","thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","241","has a reference match",90,48.3,117.301441124513,7,8,12,25.75,752,4347,"nontoxic nodular goiter","31","thyroid disorders"
