"track","model","sim_mode","sim_param","top_n","chapter_filter","pool_pairs","pool_per_code","recall_ceiling","oracle_f1"
"10_9","SapBERT","topk",20,50,TRUE,5926,16.74,0.8026,0.8905
"10_9","SapBERT","topk",20,50,FALSE,21695,61.29,0.8335,0.9092
"10_9","SapBERT","topk",30,3,TRUE,4801,13.56,0.7118,0.8317
"10_9","SapBERT","topk",30,3,FALSE,11310,31.95,0.7332,0.8461
"10_9","SapBERT","topk",30,5,TRUE,4966,14.03,0.7268,0.8418
"10_9","SapBERT","topk",30,5,FALSE,11876,33.55,0.7481,0.8559
"10_9","SapBERT","topk",30,10,TRUE,5300,14.97,0.7439,0.8531
"10_9","SapBERT","topk",30,10,FALSE,13353,37.72,0.7684,0.869
"10_9","SapBERT","topk",30,20,TRUE,5756,16.26,0.7716,0.8711
"10_9","SapBERT","topk",30,20,FALSE,16364,46.23,0.7994,0.8885
"10_9","SapBERT","topk",30,30,TRUE,6148,17.37,0.7962,0.8865
"10_9","SapBERT","topk",30,30,FALSE,19335,54.62,0.825,0.9041
"10_9","SapBERT","topk",30,50,TRUE,6876,19.42,0.8207,0.9015
"10_9","SapBERT","topk",30,50,FALSE,24947,70.47,0.8517,0.9199
"10_9","SapBERT","topk",50,3,TRUE,6510,18.39,0.7503,0.8573
"10_9","SapBERT","topk",50,3,FALSE,18366,51.88,0.7737,0.8724
"10_9","SapBERT","topk",50,5,TRUE,6659,18.81,0.7641,0.8663
"10_9","SapBERT","topk",50,5,FALSE,18911,53.42,0.7876,0.8812
"10_9","SapBERT","topk",50,10,TRUE,6953,19.64,0.7769,0.8745
"10_9","SapBERT","topk",50,10,FALSE,20314,57.38,0.8026,0.8905
"10_9","SapBERT","topk",50,20,TRUE,7366,20.81,0.8004,0.8892
"10_9","SapBERT","topk",50,20,FALSE,23225,65.61,0.8292,0.9067
"10_9","SapBERT","topk",50,30,TRUE,7724,21.82,0.8239,0.9035
"10_9","SapBERT","topk",50,30,FALSE,26105,73.74,0.8538,0.9211
"10_9","SapBERT","topk",50,50,TRUE,8376,23.66,0.8442,0.9155
"10_9","SapBERT","topk",50,50,FALSE,31560,89.15,0.8762,0.934
"10_9","mpnet","relative",0.999,3,TRUE,717,2.04,0.4237,0.5952
"10_9","mpnet","relative",0.999,3,FALSE,1240,3.5,0.4333,0.6046
"10_9","mpnet","relative",0.999,5,TRUE,969,2.75,0.4578,0.6281
"10_9","mpnet","relative",0.999,5,FALSE,1910,5.4,0.4685,0.6381
"10_9","mpnet","relative",0.999,10,TRUE,1443,4.08,0.5112,0.6766
"10_9","mpnet","relative",0.999,10,FALSE,3585,10.13,0.5261,0.6895
"10_9","mpnet","relative",0.999,20,TRUE,2085,5.89,0.5667,0.7234
"10_9","mpnet","relative",0.999,20,FALSE,6877,19.43,0.588,0.7406
"10_9","mpnet","relative",0.999,30,TRUE,2621,7.4,0.6073,0.7556
"10_9","mpnet","relative",0.999,30,FALSE,10084,28.49,0.6297,0.7728
"10_9","mpnet","relative",0.999,50,TRUE,3589,10.14,0.6574,0.7933
"10_9","mpnet","relative",0.999,50,FALSE,16064,45.38,0.6841,0.8124
"10_9","mpnet","relative",0.995,3,TRUE,728,2.07,0.428,0.5994
"10_9","mpnet","relative",0.995,3,FALSE,1252,3.54,0.4376,0.6088
"10_9","mpnet","relative",0.995,5,TRUE,979,2.77,0.461,0.6311
"10_9","mpnet","relative",0.995,5,FALSE,1921,5.43,0.4717,0.641
"10_9","mpnet","relative",0.995,10,TRUE,1451,4.1,0.5144,0.6794
"10_9","mpnet","relative",0.995,10,FALSE,3594,10.15,0.5293,0.6923
"10_9","mpnet","relative",0.995,20,TRUE,2093,5.91,0.5699,0.726
"10_9","mpnet","relative",0.995,20,FALSE,6886,19.45,0.5912,0.7431
"10_9","mpnet","relative",0.995,30,TRUE,2629,7.43,0.6105,0.7581
"10_9","mpnet","relative",0.995,30,FALSE,10093,28.51,0.6329,0.7752
"10_9","mpnet","relative",0.995,50,TRUE,3596,10.16,0.6606,0.7956
"10_9","mpnet","relative",0.995,50,FALSE,16072,45.4,0.6873,0.8147
"10_9","mpnet","relative",0.99,3,TRUE,739,2.1,0.4354,0.6067
"10_9","mpnet","relative",0.99,3,FALSE,1266,3.58,0.445,0.616
"10_9","mpnet","relative",0.99,5,TRUE,990,2.8,0.4685,0.6381
"10_9","mpnet","relative",0.99,5,FALSE,1935,5.47,0.4792,0.6479
"10_9","mpnet","relative",0.99,10,TRUE,1461,4.13,0.5208,0.6849
"10_9","mpnet","relative",0.99,10,FALSE,3607,10.19,0.5358,0.6977
"10_9","mpnet","relative",0.99,20,TRUE,2101,5.94,0.5742,0.7295
"10_9","mpnet","relative",0.99,20,FALSE,6897,19.48,0.5955,0.7465
"10_9","mpnet","relative",0.99,30,TRUE,2636,7.45,0.6137,0.7606
"10_9","mpnet","relative",0.99,30,FALSE,10103,28.54,0.6361,0.7776
"10_9","mpnet","relative",0.99,50,TRUE,3601,10.17,0.6638,0.7979
"10_9","mpnet","relative",0.99,50,FALSE,16080,45.42,0.6905,0.8169
"10_9","mpnet","relative",0.95,3,TRUE,856,2.43,0.4803,0.6489
"10_9","mpnet","relative",0.95,3,FALSE,1402,3.96,0.4899,0.6576
"10_9","mpnet","relative",0.95,5,TRUE,1095,3.1,0.5091,0.6747
"10_9","mpnet","relative",0.95,5,FALSE,2059,5.82,0.5197,0.684
"10_9","mpnet","relative",0.95,10,TRUE,1551,4.38,0.5496,0.7094
"10_9","mpnet","relative",0.95,10,FALSE,3715,10.49,0.5646,0.7217
"10_9","mpnet","relative",0.95,20,TRUE,2185,6.17,0.6009,0.7507
"10_9","mpnet","relative",0.95,20,FALSE,6998,19.77,0.6222,0.7671
"10_9","mpnet","relative",0.95,30,TRUE,2710,7.66,0.6382,0.7792
"10_9","mpnet","relative",0.95,30,FALSE,10193,28.79,0.6606,0.7956
"10_9","mpnet","relative",0.95,50,TRUE,3666,10.36,0.683,0.8117
"10_9","mpnet","relative",0.95,50,FALSE,16161,45.65,0.7097,0.8302
"10_9","mpnet","relative",0.9,3,TRUE,1111,3.16,0.5411,0.7022
"10_9","mpnet","relative",0.9,3,FALSE,1724,4.87,0.5528,0.712
"10_9","mpnet","relative",0.9,5,TRUE,1344,3.81,0.5688,0.7252
"10_9","mpnet","relative",0.9,5,FALSE,2375,6.71,0.5816,0.7355
"10_9","mpnet","relative",0.9,10,TRUE,1779,5.03,0.5987,0.749
"10_9","mpnet","relative",0.9,10,FALSE,4010,11.33,0.6158,0.7622
"10_9","mpnet","relative",0.9,20,TRUE,2398,6.77,0.6403,0.7807
"10_9","mpnet","relative",0.9,20,FALSE,7274,20.55,0.6628,0.7972
"10_9","mpnet","relative",0.9,30,TRUE,2910,8.22,0.6724,0.8041
"10_9","mpnet","relative",0.9,30,FALSE,10455,29.53,0.6958,0.8206
"10_9","mpnet","relative",0.9,50,TRUE,3843,10.86,0.7118,0.8317
"10_9","mpnet","relative",0.9,50,FALSE,16400,46.33,0.7396,0.8503
"10_9","mpnet","relative",0.85,3,TRUE,1566,4.44,0.5966,0.7473
"10_9","mpnet","relative",0.85,3,FALSE,2354,6.65,0.6105,0.7581
"10_9","mpnet","relative",0.85,5,TRUE,1785,5.06,0.619,0.7647
"10_9","mpnet","relative",0.85,5,FALSE,2991,8.45,0.6339,0.776
"10_9","mpnet","relative",0.85,10,TRUE,2196,6.2,0.6457,0.7847
"10_9","mpnet","relative",0.85,10,FALSE,4600,12.99,0.6649,0.7987
"10_9","mpnet","relative",0.85,20,TRUE,2785,7.87,0.6756,0.8064
"10_9","mpnet","relative",0.85,20,FALSE,7831,22.12,0.7001,0.8236
"10_9","mpnet","relative",0.85,30,TRUE,3272,9.24,0.7033,0.8258
"10_9","mpnet","relative",0.85,30,FALSE,10984,31.03,0.7289,0.8432
"10_9","mpnet","relative",0.85,50,TRUE,4170,11.78,0.7353,0.8475
"10_9","mpnet","relative",0.85,50,FALSE,16891,47.71,0.7652,0.867
"10_9","mpnet","relative",0.8,3,TRUE,2373,6.72,0.667,0.8003
"10_9","mpnet","relative",0.8,3,FALSE,3529,9.97,0.682,0.8109
"10_9","mpnet","relative",0.8,5,TRUE,2570,7.28,0.6873,0.8147
"10_9","mpnet","relative",0.8,5,FALSE,4142,11.7,0.7033,0.8258
"10_9","mpnet","relative",0.8,10,TRUE,2949,8.33,0.7129,0.8324
"10_9","mpnet","relative",0.8,10,FALSE,5715,16.14,0.7332,0.8461
"10_9","mpnet","relative",0.8,20,TRUE,3506,9.9,0.7353,0.8475
"10_9","mpnet","relative",0.8,20,FALSE,8907,25.16,0.7609,0.8642
"10_9","mpnet","relative",0.8,30,TRUE,3967,11.21,0.7609,0.8642
"10_9","mpnet","relative",0.8,30,FALSE,12027,33.97,0.7876,0.8812
"10_9","mpnet","relative",0.8,50,TRUE,4820,13.62,0.7866,0.8805
"10_9","mpnet","relative",0.8,50,FALSE,17880,50.51,0.8175,0.8996
"10_9","mpnet","topk",1,3,TRUE,717,2.04,0.4237,0.5952
"10_9","mpnet","topk",1,3,FALSE,1240,3.5,0.4333,0.6046
"10_9","mpnet","topk",1,5,TRUE,969,2.75,0.4578,0.6281
"10_9","mpnet","topk",1,5,FALSE,1910,5.4,0.4685,0.6381
"10_9","mpnet","topk",1,10,TRUE,1443,4.08,0.5112,0.6766
"10_9","mpnet","topk",1,10,FALSE,3585,10.13,0.5261,0.6895
