"track","tau","n_emitted","codes_covered","code_coverage","precision","recall","f1"
"8_9",0.67,283,270,0.894039735099338,0.936395759717314,0.812883435582822,0.870279146141215
"8_9",0.68,283,270,0.894039735099338,0.936395759717314,0.812883435582822,0.870279146141215
"8_9",0.69,281,269,0.890728476821192,0.939501779359431,0.809815950920245,0.869851729818781
"8_9",0.7,278,267,0.884105960264901,0.946043165467626,0.806748466257669,0.870860927152318
"8_9",0.71,277,266,0.880794701986755,0.945848375451264,0.803680981595092,0.868988391376451
"8_9",0.72,274,265,0.877483443708609,0.956204379562044,0.803680981595092,0.873333333333333
"8_9",0.73,272,263,0.870860927152318,0.955882352941177,0.797546012269939,0.869565217391304
"8_9",0.74,272,263,0.870860927152318,0.955882352941177,0.797546012269939,0.869565217391304
"8_9",0.75,272,263,0.870860927152318,0.955882352941177,0.797546012269939,0.869565217391304
"8_9",0.76,270,261,0.864238410596026,0.955555555555556,0.791411042944785,0.865771812080537
"8_9",0.77,270,261,0.864238410596026,0.955555555555556,0.791411042944785,0.865771812080537
"8_9",0.78,270,261,0.864238410596026,0.955555555555556,0.791411042944785,0.865771812080537
"8_9",0.79,270,261,0.864238410596026,0.955555555555556,0.791411042944785,0.865771812080537
"8_9",0.8,269,261,0.864238410596026,0.95910780669145,0.791411042944785,0.867226890756302
"8_9",0.81,267,260,0.860927152317881,0.958801498127341,0.785276073619632,0.863406408094435
"8_9",0.82,265,258,0.854304635761589,0.962264150943396,0.782208588957055,0.862944162436548
"8_9",0.83,265,258,0.854304635761589,0.962264150943396,0.782208588957055,0.862944162436548
"8_9",0.84,264,257,0.850993377483444,0.962121212121212,0.779141104294479,0.861016949152542
"8_9",0.85,263,257,0.850993377483444,0.965779467680608,0.779141104294479,0.862478777589134
"8_9",0.86,260,255,0.844370860927152,0.973076923076923,0.776073619631902,0.863481228668942
"8_9",0.87,258,253,0.837748344370861,0.972868217054264,0.769938650306748,0.85958904109589
"8_9",0.88,256,251,0.83112582781457,0.97265625,0.763803680981595,0.855670103092783
"8_9",0.89,254,250,0.827814569536424,0.976377952755906,0.760736196319018,0.855172413793103
"8_9",0.9,252,248,0.821192052980132,0.976190476190476,0.754601226993865,0.85121107266436
"8_9",0.91,251,247,0.817880794701987,0.97609561752988,0.751533742331288,0.849220103986135
"8_9",0.92,247,244,0.80794701986755,0.975708502024291,0.739263803680982,0.841186736474695
"8_9",0.93,245,242,0.801324503311258,0.975510204081633,0.733128834355828,0.837127845884413
"8_9",0.94,241,239,0.791390728476821,0.983402489626556,0.726993865030675,0.835978835978836
"8_9",0.95,231,230,0.76158940397351,0.982683982683983,0.696319018404908,0.81508078994614
"8_9",0.97,219,218,0.721854304635762,0.995433789954338,0.668711656441718,0.8
"8_9",0.99,175,175,0.579470198675497,1,0.53680981595092,0.698602794411178
