"icd9","top_target","top_frequency","track","track_label"
"395","I35",350,"10_9","ICD-9-CM to ICD-10-CA"
"396","E11",1008,"10_9","ICD-9-CM to ICD-10-CA"
"397","I50",259,"10_9","ICD-9-CM to ICD-10-CA"
"398","I50",219,"10_9","ICD-9-CM to ICD-10-CA"
"401","I10",60992,"10_9","ICD-9-CM to ICD-10-CA"
"402","I10",973,"10_9","ICD-9-CM to ICD-10-CA"
"403","I10",523,"10_9","ICD-9-CM to ICD-10-CA"
"404","E11",913,"10_9","ICD-9-CM to ICD-10-CA"
"405","I10",113,"10_9","ICD-9-CM to ICD-10-CA"
"410","I21",92019,"10_9","ICD-9-CM to ICD-10-CA"
"411","I25",42021,"10_9","ICD-9-CM to ICD-10-CA"
"412","I21",487,"10_9","ICD-9-CM to ICD-10-CA"
"413","I25",14624,"10_9","ICD-9-CM to ICD-10-CA"
"414","I25",89130,"10_9","ICD-9-CM to ICD-10-CA"
"415","I26",17755,"10_9","ICD-9-CM to ICD-10-CA"
"416","I27",3188,"10_9","ICD-9-CM to ICD-10-CA"
"417","E11",71,"10_9","ICD-9-CM to ICD-10-CA"
"423","I31",2650,"10_9","ICD-9-CM to ICD-10-CA"
"424","E11",11689,"10_9","ICD-9-CM to ICD-10-CA"
"425","I50",4114,"10_9","ICD-9-CM to ICD-10-CA"
"426","I44",10670,"10_9","ICD-9-CM to ICD-10-CA"
"427","I48",86336,"10_9","ICD-9-CM to ICD-10-CA"
"428","I50",184414,"10_9","ICD-9-CM to ICD-10-CA"
"429","E11",3306,"10_9","ICD-9-CM to ICD-10-CA"
"430","I60",959,"10_9","ICD-9-CM to ICD-10-CA"
"431","I61",3731,"10_9","ICD-9-CM to ICD-10-CA"
"432","S06",4979,"10_9","ICD-9-CM to ICD-10-CA"
"433","I65",3939,"10_9","ICD-9-CM to ICD-10-CA"
"434","I63",18111,"10_9","ICD-9-CM to ICD-10-CA"
"435","G45",5404,"10_9","ICD-9-CM to ICD-10-CA"
"436","I63",68872,"10_9","ICD-9-CM to ICD-10-CA"
"437","I10",6468,"10_9","ICD-9-CM to ICD-10-CA"
"438","I63",1061,"10_9","ICD-9-CM to ICD-10-CA"
"440","E11",2940,"10_9","ICD-9-CM to ICD-10-CA"
"441","I71",8295,"10_9","ICD-9-CM to ICD-10-CA"
"442","I72",1017,"10_9","ICD-9-CM to ICD-10-CA"
"443","E11",12788,"10_9","ICD-9-CM to ICD-10-CA"
"444","E11",2794,"10_9","ICD-9-CM to ICD-10-CA"
"445","I74",16,"10_9","ICD-9-CM to ICD-10-CA"
"446","M31",1757,"10_9","ICD-9-CM to ICD-10-CA"
"447","E11",2367,"10_9","ICD-9-CM to ICD-10-CA"
"448","I78",55,"10_9","ICD-9-CM to ICD-10-CA"
"453","I80",6849,"10_9","ICD-9-CM to ICD-10-CA"
"456","K70",1087,"10_9","ICD-9-CM to ICD-10-CA"
"457","L03",362,"10_9","ICD-9-CM to ICD-10-CA"
"459","E11",11408,"10_9","ICD-9-CM to ICD-10-CA"
"472","E11",143,"10_9","ICD-9-CM to ICD-10-CA"
"473","J32",1535,"10_9","ICD-9-CM to ICD-10-CA"
"474","J35",3997,"10_9","ICD-9-CM to ICD-10-CA"
"476","E11",44,"10_9","ICD-9-CM to ICD-10-CA"
"477","I10",211,"10_9","ICD-9-CM to ICD-10-CA"
"478","J38",901,"10_9","ICD-9-CM to ICD-10-CA"
"491","J44",7247,"10_9","ICD-9-CM to ICD-10-CA"
"492","J44",2306,"10_9","ICD-9-CM to ICD-10-CA"
"493","J45",15147,"10_9","ICD-9-CM to ICD-10-CA"
"494","J47",2360,"10_9","ICD-9-CM to ICD-10-CA"
"495","I10",67,"10_9","ICD-9-CM to ICD-10-CA"
"496","J44",102867,"10_9","ICD-9-CM to ICD-10-CA"
"501","I10",57,"10_9","ICD-9-CM to ICD-10-CA"
"502","J44",10,"10_9","ICD-9-CM to ICD-10-CA"
"505","J18",7,"10_9","ICD-9-CM to ICD-10-CA"
"506","E11",382,"10_9","ICD-9-CM to ICD-10-CA"
"508","T59",58,"10_9","ICD-9-CM to ICD-10-CA"
"512","J93",5660,"10_9","ICD-9-CM to ICD-10-CA"
"514","E11",2077,"10_9","ICD-9-CM to ICD-10-CA"
"515","J84",5194,"10_9","ICD-9-CM to ICD-10-CA"
"516","J84",3378,"10_9","ICD-9-CM to ICD-10-CA"
"517","I10",192,"10_9","ICD-9-CM to ICD-10-CA"
"518","E11",13639,"10_9","ICD-9-CM to ICD-10-CA"
"523","E11",95,"10_9","ICD-9-CM to ICD-10-CA"
"525","K04",94,"10_9","ICD-9-CM to ICD-10-CA"
"530","E11",7013,"10_9","ICD-9-CM to ICD-10-CA"
"531","K25",1918,"10_9","ICD-9-CM to ICD-10-CA"
"532","K26",3030,"10_9","ICD-9-CM to ICD-10-CA"
"533","E11",952,"10_9","ICD-9-CM to ICD-10-CA"
"534","E11",73,"10_9","ICD-9-CM to ICD-10-CA"
"535","K29",4743,"10_9","ICD-9-CM to ICD-10-CA"
"537","K31",1484,"10_9","ICD-9-CM to ICD-10-CA"
"555","K50",15917,"10_9","ICD-9-CM to ICD-10-CA"
"556","K51",7640,"10_9","ICD-9-CM to ICD-10-CA"
"557","K55",3089,"10_9","ICD-9-CM to ICD-10-CA"
"558","E11",11111,"10_9","ICD-9-CM to ICD-10-CA"
"562","K57",24809,"10_9","ICD-9-CM to ICD-10-CA"
"564","K59",5446,"10_9","ICD-9-CM to ICD-10-CA"
"571","K70",20376,"10_9","ICD-9-CM to ICD-10-CA"
"572","E11",5703,"10_9","ICD-9-CM to ICD-10-CA"
"573","K70",3266,"10_9","ICD-9-CM to ICD-10-CA"
"575","K80",28514,"10_9","ICD-9-CM to ICD-10-CA"
"576","K80",6654,"10_9","ICD-9-CM to ICD-10-CA"
"577","K85",46002,"10_9","ICD-9-CM to ICD-10-CA"
"579","K90",279,"10_9","ICD-9-CM to ICD-10-CA"
"581","E11",1704,"10_9","ICD-9-CM to ICD-10-CA"
"582","N17",246,"10_9","ICD-9-CM to ICD-10-CA"
"583","E11",1244,"10_9","ICD-9-CM to ICD-10-CA"
"585","E11",108079,"10_9","ICD-9-CM to ICD-10-CA"
"586","E11",238548,"10_9","ICD-9-CM to ICD-10-CA"
"587","E11",76,"10_9","ICD-9-CM to ICD-10-CA"
"588","E11",263,"10_9","ICD-9-CM to ICD-10-CA"
"590","E11",8854,"10_9","ICD-9-CM to ICD-10-CA"
"595","N39",2042,"10_9","ICD-9-CM to ICD-10-CA"
"596","N32",742,"10_9","ICD-9-CM to ICD-10-CA"
"599","N39",66167,"10_9","ICD-9-CM to ICD-10-CA"
"600","N40",3535,"10_9","ICD-9-CM to ICD-10-CA"
"601","N41",555,"10_9","ICD-9-CM to ICD-10-CA"
"607","E11",483,"10_9","ICD-9-CM to ICD-10-CA"
"610","N61",79,"10_9","ICD-9-CM to ICD-10-CA"
"614","N73",2870,"10_9","ICD-9-CM to ICD-10-CA"
"615","O85",348,"10_9","ICD-9-CM to ICD-10-CA"
"617","N80",2761,"10_9","ICD-9-CM to ICD-10-CA"
"618","N81",12563,"10_9","ICD-9-CM to ICD-10-CA"
"619","N82",610,"10_9","ICD-9-CM to ICD-10-CA"
"621","D25",1009,"10_9","ICD-9-CM to ICD-10-CA"
"625","R10",1509,"10_9","ICD-9-CM to ICD-10-CA"
"626","N92",5411,"10_9","ICD-9-CM to ICD-10-CA"
"627","D25",963,"10_9","ICD-9-CM to ICD-10-CA"
"628","O00",61,"10_9","ICD-9-CM to ICD-10-CA"
"629","T81",35,"10_9","ICD-9-CM to ICD-10-CA"
"691","E11",142,"10_9","ICD-9-CM to ICD-10-CA"
"694","L12",347,"10_9","ICD-9-CM to ICD-10-CA"
"695","L51",463,"10_9","ICD-9-CM to ICD-10-CA"
"696","L40",1281,"10_9","ICD-9-CM to ICD-10-CA"
"701","M34",243,"10_9","ICD-9-CM to ICD-10-CA"
"705","L73",343,"10_9","ICD-9-CM to ICD-10-CA"
"707","E11",49799,"10_9","ICD-9-CM to ICD-10-CA"
"710","M32",4315,"10_9","ICD-9-CM to ICD-10-CA"
"712","M11",82,"10_9","ICD-9-CM to ICD-10-CA"
"713","E11",573,"10_9","ICD-9-CM to ICD-10-CA"
"714","M06",6191,"10_9","ICD-9-CM to ICD-10-CA"
"715","M17",60805,"10_9","ICD-9-CM to ICD-10-CA"
"716","I10",4003,"10_9","ICD-9-CM to ICD-10-CA"
"717","M17",1409,"10_9","ICD-9-CM to ICD-10-CA"
"718","I10",444,"10_9","ICD-9-CM to ICD-10-CA"
"719","E11",14984,"10_9","ICD-9-CM to ICD-10-CA"
"720","E11",368,"10_9","ICD-9-CM to ICD-10-CA"
"721","G99",1593,"10_9","ICD-9-CM to ICD-10-CA"
"722","M51",5058,"10_9","ICD-9-CM to ICD-10-CA"
"730","E11",28632,"10_9","ICD-9-CM to ICD-10-CA"
"731","E11",78,"10_9","ICD-9-CM to ICD-10-CA"
"732","M93",147,"10_9","ICD-9-CM to ICD-10-CA"
"733","E11",3850,"10_9","ICD-9-CM to ICD-10-CA"
"735","M20",362,"10_9","ICD-9-CM to ICD-10-CA"
"737","M41",1038,"10_9","ICD-9-CM to ICD-10-CA"
"741","Q05",175,"10_9","ICD-9-CM to ICD-10-CA"
"742","E11",527,"10_9","ICD-9-CM to ICD-10-CA"
"743","E11",18,"10_9","ICD-9-CM to ICD-10-CA"
"744","K07",830,"10_9","ICD-9-CM to ICD-10-CA"
"745","Q21",468,"10_9","ICD-9-CM to ICD-10-CA"
"746","E11",810,"10_9","ICD-9-CM to ICD-10-CA"
"747","I35",2755,"10_9","ICD-9-CM to ICD-10-CA"
"748","E11",148,"10_9","ICD-9-CM to ICD-10-CA"
"749","Q35",183,"10_9","ICD-9-CM to ICD-10-CA"
"750","K44",228,"10_9","ICD-9-CM to ICD-10-CA"
"751","Q43",200,"10_9","ICD-9-CM to ICD-10-CA"
"752","N83",149,"10_9","ICD-9-CM to ICD-10-CA"
"753","E11",14970,"10_9","ICD-9-CM to ICD-10-CA"
"754","Q67",88,"10_9","ICD-9-CM to ICD-10-CA"
"755","E11",144,"10_9","ICD-9-CM to ICD-10-CA"
"756","E11",279,"10_9","ICD-9-CM to ICD-10-CA"
"757","E65",229,"10_9","ICD-9-CM to ICD-10-CA"
"758","Q90",176,"10_9","ICD-9-CM to ICD-10-CA"
"759","Q87",142,"10_9","ICD-9-CM to ICD-10-CA"
"140","140",26,"8_9","ICD-9-CM to ICDA-8"
"141","141",36,"8_9","ICD-9-CM to ICDA-8"
"142","142",7,"8_9","ICD-9-CM to ICDA-8"
"143","199",10,"8_9","ICD-9-CM to ICDA-8"
"145","145",33,"8_9","ICD-9-CM to ICDA-8"
"146","162",17,"8_9","ICD-9-CM to ICDA-8"
"147","147",38,"8_9","ICD-9-CM to ICDA-8"
"149","149",15,"8_9","ICD-9-CM to ICDA-8"
"150","150",205,"8_9","ICD-9-CM to ICDA-8"
"151","151",650,"8_9","ICD-9-CM to ICDA-8"
"152","197",9,"8_9","ICD-9-CM to ICDA-8"
"153","153",983,"8_9","ICD-9-CM to ICDA-8"
"154","154",442,"8_9","ICD-9-CM to ICDA-8"
"155","197",42,"8_9","ICD-9-CM to ICDA-8"
"156","156",110,"8_9","ICD-9-CM to ICDA-8"
"157","157",533,"8_9","ICD-9-CM to ICDA-8"
"158","197",17,"8_9","ICD-9-CM to ICDA-8"
"159","197",13,"8_9","ICD-9-CM to ICDA-8"
"160","160",74,"8_9","ICD-9-CM to ICDA-8"
"161","161",305,"8_9","ICD-9-CM to ICDA-8"
"162","162",3926,"8_9","ICD-9-CM to ICDA-8"
"163","197",19,"8_9","ICD-9-CM to ICDA-8"
"170","170",185,"8_9","ICD-9-CM to ICDA-8"
"171","171",112,"8_9","ICD-9-CM to ICDA-8"
"172","172",246,"8_9","ICD-9-CM to ICDA-8"
"174","174",2668,"8_9","ICD-9-CM to ICDA-8"
"180","180",554,"8_9","ICD-9-CM to ICDA-8"
"181","188",28,"8_9","ICD-9-CM to ICDA-8"
"182","182",249,"8_9","ICD-9-CM to ICDA-8"
"183","183",410,"8_9","ICD-9-CM to ICDA-8"
"184","184",38,"8_9","ICD-9-CM to ICDA-8"
"185","185",938,"8_9","ICD-9-CM to ICDA-8"
"186","186",224,"8_9","ICD-9-CM to ICDA-8"
"187","186",7,"8_9","ICD-9-CM to ICDA-8"
"188","188",326,"8_9","ICD-9-CM to ICDA-8"
"189","189",450,"8_9","ICD-9-CM to ICDA-8"
"190","190",97,"8_9","ICD-9-CM to ICDA-8"
"191","191",84,"8_9","ICD-9-CM to ICDA-8"
"192","192",219,"8_9","ICD-9-CM to ICDA-8"
"193","193",107,"8_9","ICD-9-CM to ICDA-8"
"194","199",10,"8_9","ICD-9-CM to ICDA-8"
"195","199",51,"8_9","ICD-9-CM to ICDA-8"
"196","196",9,"8_9","ICD-9-CM to ICDA-8"
"197","197",167,"8_9","ICD-9-CM to ICDA-8"
"199","199",1130,"8_9","ICD-9-CM to ICDA-8"
"200","200",346,"8_9","ICD-9-CM to ICDA-8"
"201","201",779,"8_9","ICD-9-CM to ICDA-8"
"202","202",664,"8_9","ICD-9-CM to ICDA-8"
"203","203",637,"8_9","ICD-9-CM to ICDA-8"
"204","204",364,"8_9","ICD-9-CM to ICDA-8"
"205","205",156,"8_9","ICD-9-CM to ICDA-8"
"206","205",8,"8_9","ICD-9-CM to ICDA-8"
"207","205",603,"8_9","ICD-9-CM to ICDA-8"
"225","225",64,"8_9","ICD-9-CM to ICDA-8"
"240","241",33,"8_9","ICD-9-CM to ICDA-8"
"241","493",2025,"8_9","ICD-9-CM to ICDA-8"
"242","242",483,"8_9","ICD-9-CM to ICDA-8"
"243","708",80,"8_9","ICD-9-CM to ICDA-8"
"244","244",325,"8_9","ICD-9-CM to ICDA-8"
"245","692",85,"8_9","ICD-9-CM to ICDA-8"
"246","241",42,"8_9","ICD-9-CM to ICDA-8"
"250","250",19099,"8_9","ICD-9-CM to ICDA-8"
"251","251",446,"8_9","ICD-9-CM to ICDA-8"
"252","242",105,"8_9","ICD-9-CM to ICDA-8"
"253","253",168,"8_9","ICD-9-CM to ICDA-8"
"254","241",23,"8_9","ICD-9-CM to ICDA-8"
"255","255",179,"8_9","ICD-9-CM to ICDA-8"
"256","626",21,"8_9","ICD-9-CM to ICDA-8"
"258","258",89,"8_9","ICD-9-CM to ICDA-8"
"261","268",23,"8_9","ICD-9-CM to ICDA-8"
"268","265",33,"8_9","ICD-9-CM to ICDA-8"
"270","251",67,"8_9","ICD-9-CM to ICDA-8"
"271","271",26,"8_9","ICD-9-CM to ICDA-8"
"272","253",28,"8_9","ICD-9-CM to ICDA-8"
"273","275",72,"8_9","ICD-9-CM to ICDA-8"
"274","274",395,"8_9","ICD-9-CM to ICDA-8"
"275","279",150,"8_9","ICD-9-CM to ICDA-8"
"277","273",412,"8_9","ICD-9-CM to ICDA-8"
"278","277",872,"8_9","ICD-9-CM to ICDA-8"
"280","280",391,"8_9","ICD-9-CM to ICDA-8"
"282","282",211,"8_9","ICD-9-CM to ICDA-8"
"283","283",14,"8_9","ICD-9-CM to ICDA-8"
"284","284",254,"8_9","ICD-9-CM to ICDA-8"
"285","285",1716,"8_9","ICD-9-CM to ICDA-8"
"286","286",1184,"8_9","ICD-9-CM to ICDA-8"
"287","287",1480,"8_9","ICD-9-CM to ICDA-8"
"288","288",143,"8_9","ICD-9-CM to ICDA-8"
"289","289",1649,"8_9","ICD-9-CM to ICDA-8"
"290","290",231,"8_9","ICD-9-CM to ICDA-8"
