"CCS_ID","TP","FP","FN","Precision","Recall","F1","Accuracy","track","model"
91,4,4,0,0.5,1,0.667,0.5,"10_9","SapBERT"
92,1,0,0,1,1,1,1,"10_9","SapBERT"
93,1,0,0,1,1,1,1,"10_9","SapBERT"
94,2,0,0,1,1,1,1,"10_9","SapBERT"
95,1,0,1,1,0.5,0.667,0.5,"10_9","SapBERT"
96,1,0,0,1,1,1,1,"10_9","SapBERT"
97,2,0,4,1,0.333,0.5,0.333,"10_9","SapBERT"
98,5,3,8,0.625,0.385,0.476,0.312,"10_9","SapBERT"
99,2,2,3,0.5,0.4,0.444,0.286,"10_9","SapBERT"
100,2,0,1,1,0.667,0.8,0.667,"10_9","SapBERT"
101,5,10,11,0.333,0.312,0.322,0.192,"10_9","SapBERT"
102,1,2,0,0.333,1,0.5,0.333,"10_9","SapBERT"
103,2,2,7,0.5,0.222,0.307,0.182,"10_9","SapBERT"
104,3,1,7,0.75,0.3,0.429,0.273,"10_9","SapBERT"
105,1,0,0,1,1,1,1,"10_9","SapBERT"
106,2,0,1,1,0.667,0.8,0.667,"10_9","SapBERT"
107,1,1,0,0.5,1,0.667,0.5,"10_9","SapBERT"
108,7,3,7,0.7,0.5,0.583,0.412,"10_9","SapBERT"
109,2,0,2,1,0.5,0.667,0.5,"10_9","SapBERT"
110,1,0,1,1,0.5,0.667,0.5,"10_9","SapBERT"
111,1,1,1,0.5,0.5,0.5,0.333,"10_9","SapBERT"
112,1,2,0,0.333,1,0.5,0.333,"10_9","SapBERT"
113,1,1,1,0.5,0.5,0.5,0.333,"10_9","SapBERT"
114,5,0,18,1,0.217,0.357,0.217,"10_9","SapBERT"
115,2,1,14,0.667,0.125,0.211,0.118,"10_9","SapBERT"
116,1,0,2,1,0.333,0.5,0.333,"10_9","SapBERT"
117,2,0,4,1,0.333,0.5,0.333,"10_9","SapBERT"
118,5,4,13,0.556,0.278,0.371,0.227,"10_9","SapBERT"
119,2,0,3,1,0.4,0.571,0.4,"10_9","SapBERT"
120,1,1,5,0.5,0.167,0.25,0.143,"10_9","SapBERT"
121,6,1,4,0.857,0.6,0.706,0.545,"10_9","SapBERT"
122,1,0,4,1,0.2,0.333,0.2,"10_9","SapBERT"
123,5,0,15,1,0.25,0.4,0.25,"10_9","SapBERT"
124,1,0,0,1,1,1,1,"10_9","SapBERT"
125,1,0,4,1,0.2,0.333,0.2,"10_9","SapBERT"
126,4,0,6,1,0.4,0.571,0.4,"10_9","SapBERT"
127,16,3,40,0.842,0.286,0.427,0.271,"10_9","SapBERT"
128,3,2,8,0.6,0.273,0.375,0.231,"10_9","SapBERT"
129,3,0,5,1,0.375,0.545,0.375,"10_9","SapBERT"
130,3,0,10,1,0.231,0.375,0.231,"10_9","SapBERT"
