"CCS_ID","TP","FP","FN","Precision","Recall","F1","Accuracy","track","model"
38,5,0,0,1,1,1,1,"8_9","SapBERT"
39,4,0,0,1,1,1,1,"8_9","SapBERT"
40,2,0,0,1,1,1,1,"8_9","SapBERT"
41,4,0,0,1,1,1,1,"8_9","SapBERT"
42,3,0,0,1,1,1,1,"8_9","SapBERT"
43,2,1,1,0.667,0.667,0.667,0.5,"8_9","SapBERT"
44,0,1,1,0,0,0,0,"8_9","SapBERT"
45,1,0,0,1,1,1,1,"8_9","SapBERT"
46,3,0,1,1,0.75,0.857,0.75,"8_9","SapBERT"
47,1,0,1,1,0.5,0.667,0.5,"8_9","SapBERT"
48,1,0,0,1,1,1,1,"8_9","SapBERT"
49,2,0,3,1,0.4,0.571,0.4,"8_9","SapBERT"
50,7,2,7,0.778,0.5,0.609,0.438,"8_9","SapBERT"
51,1,0,1,1,0.5,0.667,0.5,"8_9","SapBERT"
52,1,1,1,0.5,0.5,0.5,0.333,"8_9","SapBERT"
53,1,0,0,1,1,1,1,"8_9","SapBERT"
54,2,1,1,0.667,0.667,0.667,0.5,"8_9","SapBERT"
55,1,0,0,1,1,1,1,"8_9","SapBERT"
56,5,4,6,0.556,0.455,0.5,0.333,"8_9","SapBERT"
57,2,0,0,1,1,1,1,"8_9","SapBERT"
58,1,0,0,1,1,1,1,"8_9","SapBERT"
59,1,0,0,1,1,1,1,"8_9","SapBERT"
60,1,0,0,1,1,1,1,"8_9","SapBERT"
61,1,2,3,0.333,0.25,0.286,0.167,"8_9","SapBERT"
62,2,0,0,1,1,1,1,"8_9","SapBERT"
63,1,1,0,0.5,1,0.667,0.5,"8_9","SapBERT"
64,3,2,1,0.6,0.75,0.667,0.5,"8_9","SapBERT"
65,5,1,0,0.833,1,0.909,0.833,"8_9","SapBERT"
66,1,0,0,1,1,1,1,"8_9","SapBERT"
67,3,0,0,1,1,1,1,"8_9","SapBERT"
68,1,0,0,1,1,1,1,"8_9","SapBERT"
69,4,1,1,0.8,0.8,0.8,0.667,"8_9","SapBERT"
70,1,1,1,0.5,0.5,0.5,0.333,"8_9","SapBERT"
71,1,0,0,1,1,1,1,"8_9","SapBERT"
72,2,1,0,0.667,1,0.8,0.667,"8_9","SapBERT"
73,1,0,0,1,1,1,1,"8_9","SapBERT"
74,4,1,4,0.8,0.5,0.615,0.444,"8_9","SapBERT"
75,1,0,0,1,1,1,1,"8_9","SapBERT"
76,2,0,1,1,0.667,0.8,0.667,"8_9","SapBERT"
77,7,0,0,1,1,1,1,"8_9","SapBERT"
78,1,1,1,0.5,0.5,0.5,0.333,"8_9","SapBERT"
79,1,0,0,1,1,1,1,"8_9","SapBERT"
80,3,0,0,1,1,1,1,"8_9","SapBERT"
81,3,1,1,0.75,0.75,0.75,0.6,"8_9","SapBERT"
82,1,0,0,1,1,1,1,"8_9","SapBERT"
83,0,1,1,0,0,0,0,"8_9","SapBERT"
84,3,0,0,1,1,1,1,"8_9","SapBERT"
85,1,0,0,1,1,1,1,"8_9","SapBERT"
86,2,4,7,0.333,0.222,0.266,0.154,"8_9","SapBERT"
87,2,0,0,1,1,1,1,"8_9","SapBERT"
88,1,0,0,1,1,1,1,"8_9","SapBERT"
89,2,0,0,1,1,1,1,"8_9","SapBERT"
90,1,0,0,1,1,1,1,"8_9","SapBERT"
91,4,0,0,1,1,1,1,"8_9","SapBERT"
92,1,0,0,1,1,1,1,"8_9","SapBERT"
93,1,0,0,1,1,1,1,"8_9","SapBERT"
94,1,0,0,1,1,1,1,"8_9","SapBERT"
95,1,0,0,1,1,1,1,"8_9","SapBERT"
96,1,0,0,1,1,1,1,"8_9","SapBERT"
97,1,1,1,0.5,0.5,0.5,0.333,"8_9","SapBERT"
98,3,0,0,1,1,1,1,"8_9","SapBERT"
99,1,0,0,1,1,1,1,"8_9","SapBERT"
100,1,0,0,1,1,1,1,"8_9","SapBERT"
101,4,0,0,1,1,1,1,"8_9","SapBERT"
103,2,0,0,1,1,1,1,"8_9","SapBERT"
104,2,0,0,1,1,1,1,"8_9","SapBERT"
105,1,0,0,1,1,1,1,"8_9","SapBERT"
106,1,0,1,1,0.5,0.667,0.5,"8_9","SapBERT"
107,1,0,0,1,1,1,1,"8_9","SapBERT"
108,2,1,1,0.667,0.667,0.667,0.5,"8_9","SapBERT"
109,1,0,0,1,1,1,1,"8_9","SapBERT"
110,1,0,0,1,1,1,1,"8_9","SapBERT"
111,1,0,0,1,1,1,1,"8_9","SapBERT"
112,1,0,0,1,1,1,1,"8_9","SapBERT"
113,1,0,0,1,1,1,1,"8_9","SapBERT"
114,3,0,0,1,1,1,1,"8_9","SapBERT"
115,2,0,0,1,1,1,1,"8_9","SapBERT"
