"icd9","best_target","max_similarity","track","track_label"
"280","D51",0.956083655357361,"10_9","ICD-9-CM to ICD-10-CA"
"282","D58",0.924998462200165,"10_9","ICD-9-CM to ICD-10-CA"
"283","D58",0.936945915222168,"10_9","ICD-9-CM to ICD-10-CA"
"284","C94",0.915939927101135,"10_9","ICD-9-CM to ICD-10-CA"
"285","D58",0.941856265068054,"10_9","ICD-9-CM to ICD-10-CA"
"286","D68",0.938323676586151,"10_9","ICD-9-CM to ICD-10-CA"
"287","D69",0.951431691646576,"10_9","ICD-9-CM to ICD-10-CA"
"288","R71",0.875364065170288,"10_9","ICD-9-CM to ICD-10-CA"
"289","D75",0.920222222805023,"10_9","ICD-9-CM to ICD-10-CA"
"290","B74",0.940399646759033,"10_9","ICD-9-CM to ICD-10-CA"
"291","N95",0.891106963157654,"10_9","ICD-9-CM to ICD-10-CA"
"292","N03",0.899937808513641,"10_9","ICD-9-CM to ICD-10-CA"
"294","G94",0.931132674217224,"10_9","ICD-9-CM to ICD-10-CA"
"295","N95",0.948425531387329,"10_9","ICD-9-CM to ICD-10-CA"
"296","P78",0.929355263710022,"10_9","ICD-9-CM to ICD-10-CA"
"297","F92",0.92419958114624,"10_9","ICD-9-CM to ICD-10-CA"
"298","N95",0.905463457107544,"10_9","ICD-9-CM to ICD-10-CA"
"299","F84",0.927344918251038,"10_9","ICD-9-CM to ICD-10-CA"
"300","F61",0.942861616611481,"10_9","ICD-9-CM to ICD-10-CA"
"301","B74",0.934072077274323,"10_9","ICD-9-CM to ICD-10-CA"
"303","N34",0.943918526172638,"10_9","ICD-9-CM to ICD-10-CA"
"304","N18",0.923671841621399,"10_9","ICD-9-CM to ICD-10-CA"
"305","F55",0.943706393241882,"10_9","ICD-9-CM to ICD-10-CA"
"306","N25",0.938392400741577,"10_9","ICD-9-CM to ICD-10-CA"
"307","M25",0.929292142391205,"10_9","ICD-9-CM to ICD-10-CA"
"308","T73",0.900035262107849,"10_9","ICD-9-CM to ICD-10-CA"
"309","P92",0.878020048141479,"10_9","ICD-9-CM to ICD-10-CA"
"310","F53",0.937410056591034,"10_9","ICD-9-CM to ICD-10-CA"
"311","H93",0.945698261260986,"10_9","ICD-9-CM to ICD-10-CA"
"312","R57",0.913483262062073,"10_9","ICD-9-CM to ICD-10-CA"
"314","N32",0.916289329528809,"10_9","ICD-9-CM to ICD-10-CA"
"315","N31",0.888393998146057,"10_9","ICD-9-CM to ICD-10-CA"
"316","N08",0.945892691612244,"10_9","ICD-9-CM to ICD-10-CA"
"317","M82",0.921239852905273,"10_9","ICD-9-CM to ICD-10-CA"
"318","O92",0.913480997085571,"10_9","ICD-9-CM to ICD-10-CA"
"319","F09",0.867103695869446,"10_9","ICD-9-CM to ICD-10-CA"
"327","P78",0.914661169052124,"10_9","ICD-9-CM to ICD-10-CA"
"330","F93",0.932990789413452,"10_9","ICD-9-CM to ICD-10-CA"
"331","M71",0.910173416137695,"10_9","ICD-9-CM to ICD-10-CA"
"332","N73",0.908760845661163,"10_9","ICD-9-CM to ICD-10-CA"
"333","G31",0.936583876609802,"10_9","ICD-9-CM to ICD-10-CA"
"334","L73",0.930326282978058,"10_9","ICD-9-CM to ICD-10-CA"
"335","M72",0.953721761703491,"10_9","ICD-9-CM to ICD-10-CA"
"336","G95",0.935075342655182,"10_9","ICD-9-CM to ICD-10-CA"
"337","N95",0.908802688121796,"10_9","ICD-9-CM to ICD-10-CA"
"338","R52",0.892892777919769,"10_9","ICD-9-CM to ICD-10-CA"
"339","A69",0.915471792221069,"10_9","ICD-9-CM to ICD-10-CA"
"340","M34",0.947827935218811,"10_9","ICD-9-CM to ICD-10-CA"
"341","A74",0.90772807598114,"10_9","ICD-9-CM to ICD-10-CA"
"342","G82",0.950087070465088,"10_9","ICD-9-CM to ICD-10-CA"
"343","M83",0.913276135921478,"10_9","ICD-9-CM to ICD-10-CA"
"344","G83",0.91381311416626,"10_9","ICD-9-CM to ICD-10-CA"
"345","G45",0.938774228096008,"10_9","ICD-9-CM to ICD-10-CA"
"346","M06",0.902869820594788,"10_9","ICD-9-CM to ICD-10-CA"
"347","M87",0.912542045116425,"10_9","ICD-9-CM to ICD-10-CA"
"348","G93",0.917221307754517,"10_9","ICD-9-CM to ICD-10-CA"
"353","G54",0.957635998725891,"10_9","ICD-9-CM to ICD-10-CA"
"354","C95",0.929477989673615,"10_9","ICD-9-CM to ICD-10-CA"
"355","A49",0.950044572353363,"10_9","ICD-9-CM to ICD-10-CA"
"356","M82",0.928486824035645,"10_9","ICD-9-CM to ICD-10-CA"
"357","P78",0.913565397262573,"10_9","ICD-9-CM to ICD-10-CA"
"358","M11",0.931781351566315,"10_9","ICD-9-CM to ICD-10-CA"
"359","M93",0.919318735599518,"10_9","ICD-9-CM to ICD-10-CA"
"360","L87",0.891299962997437,"10_9","ICD-9-CM to ICD-10-CA"
"361","M71",0.910988330841064,"10_9","ICD-9-CM to ICD-10-CA"
"362","M71",0.930145025253296,"10_9","ICD-9-CM to ICD-10-CA"
"363","L91",0.920706868171692,"10_9","ICD-9-CM to ICD-10-CA"
"364","I78",0.922635972499847,"10_9","ICD-9-CM to ICD-10-CA"
"365","M86",0.940156280994415,"10_9","ICD-9-CM to ICD-10-CA"
"366","H25",0.924734115600586,"10_9","ICD-9-CM to ICD-10-CA"
"369","M82",0.928738951683044,"10_9","ICD-9-CM to ICD-10-CA"
"370","M33",0.945635914802551,"10_9","ICD-9-CM to ICD-10-CA"
"371","H02",0.92719042301178,"10_9","ICD-9-CM to ICD-10-CA"
"372","K08",0.879682183265686,"10_9","ICD-9-CM to ICD-10-CA"
"376","H05",0.906793713569641,"10_9","ICD-9-CM to ICD-10-CA"
"377","I77",0.920242726802826,"10_9","ICD-9-CM to ICD-10-CA"
"379","H61",0.945563435554504,"10_9","ICD-9-CM to ICD-10-CA"
"380","N47",0.909659206867218,"10_9","ICD-9-CM to ICD-10-CA"
"381","O92",0.925901591777802,"10_9","ICD-9-CM to ICD-10-CA"
"382","H66",0.933308005332947,"10_9","ICD-9-CM to ICD-10-CA"
"383","N95",0.920286059379578,"10_9","ICD-9-CM to ICD-10-CA"
"384","H73",0.938400268554688,"10_9","ICD-9-CM to ICD-10-CA"
"386","H58",0.930396318435669,"10_9","ICD-9-CM to ICD-10-CA"
"389","M82",0.918196380138397,"10_9","ICD-9-CM to ICD-10-CA"
"393","M86",0.916526198387146,"10_9","ICD-9-CM to ICD-10-CA"
"394","M22",0.86186146736145,"10_9","ICD-9-CM to ICD-10-CA"
"395","M22",0.894686877727509,"10_9","ICD-9-CM to ICD-10-CA"
"396","T82",0.860752940177917,"10_9","ICD-9-CM to ICD-10-CA"
"397","I77",0.87722259759903,"10_9","ICD-9-CM to ICD-10-CA"
"398","I09",0.909099102020264,"10_9","ICD-9-CM to ICD-10-CA"
"401","I12",0.952611565589905,"10_9","ICD-9-CM to ICD-10-CA"
"402","K21",0.889959454536438,"10_9","ICD-9-CM to ICD-10-CA"
"403","Q61",0.889687418937683,"10_9","ICD-9-CM to ICD-10-CA"
"404","A24",0.944660663604736,"10_9","ICD-9-CM to ICD-10-CA"
"405","I15",0.96587872505188,"10_9","ICD-9-CM to ICD-10-CA"
"410","I21",0.913542211055756,"10_9","ICD-9-CM to ICD-10-CA"
"411","A74",0.881905794143677,"10_9","ICD-9-CM to ICD-10-CA"
"412","I72",0.891392946243286,"10_9","ICD-9-CM to ICD-10-CA"
"413","I20",0.939041614532471,"10_9","ICD-9-CM to ICD-10-CA"
"414","A74",0.904816329479218,"10_9","ICD-9-CM to ICD-10-CA"
"415","I36",0.889591693878174,"10_9","ICD-9-CM to ICD-10-CA"
"416","M82",0.893689036369324,"10_9","ICD-9-CM to ICD-10-CA"
"417","K92",0.904875814914703,"10_9","ICD-9-CM to ICD-10-CA"
"423","J85",0.873292207717896,"10_9","ICD-9-CM to ICD-10-CA"
"424","A74",0.915673851966858,"10_9","ICD-9-CM to ICD-10-CA"
"425","I42",0.94237756729126,"10_9","ICD-9-CM to ICD-10-CA"
"426","F91",0.871433258056641,"10_9","ICD-9-CM to ICD-10-CA"
"427","N95",0.897163987159729,"10_9","ICD-9-CM to ICD-10-CA"
"428","Y95",0.894260764122009,"10_9","ICD-9-CM to ICD-10-CA"
