"track","tau","n_emitted","codes_covered","code_coverage","precision","recall","f1"
"10_9",0.49,604,333,0.965217391304348,0.804635761589404,0.597785977859779,0.685956245589273
"10_9",0.5,600,333,0.965217391304348,0.806666666666667,0.595325953259533,0.685067232837933
"10_9",0.51,594,333,0.965217391304348,0.80976430976431,0.591635916359164,0.683724235963042
"10_9",0.52,589,333,0.965217391304348,0.811544991511036,0.587945879458795,0.68188302425107
"10_9",0.53,582,332,0.96231884057971,0.81786941580756,0.585485854858549,0.682437275985663
"10_9",0.54,576,332,0.96231884057971,0.821180555555556,0.58179581795818,0.681065514758819
"10_9",0.55,572,332,0.96231884057971,0.821678321678322,0.578105781057811,0.67870036101083
"10_9",0.56,565,331,0.959420289855072,0.824778761061947,0.573185731857319,0.676342525399129
"10_9",0.57,561,331,0.959420289855072,0.825311942959002,0.56949569495695,0.673944687045124
"10_9",0.58,559,331,0.959420289855072,0.826475849731664,0.568265682656827,0.673469387755102
"10_9",0.59,556,331,0.959420289855072,0.827338129496403,0.565805658056581,0.672023374726077
"10_9",0.6,552,330,0.956521739130435,0.831521739130435,0.564575645756458,0.672527472527473
"10_9",0.61,547,330,0.956521739130435,0.837294332723949,0.563345633456335,0.673529411764706
"10_9",0.62,546,330,0.956521739130435,0.838827838827839,0.563345633456335,0.674025018395879
"10_9",0.63,542,330,0.956521739130435,0.845018450184502,0.563345633456335,0.676014760147602
"10_9",0.64,538,330,0.956521739130435,0.847583643122677,0.560885608856089,0.675055514433753
"10_9",0.65,530,330,0.956521739130435,0.854716981132076,0.55719557195572,0.674609084139985
"10_9",0.66,524,329,0.953623188405797,0.854961832061069,0.551045510455105,0.670157068062827
"10_9",0.67,515,326,0.944927536231884,0.858252427184466,0.543665436654367,0.66566265060241
"10_9",0.68,511,326,0.944927536231884,0.86105675146771,0.541205412054121,0.664652567975831
"10_9",0.69,505,325,0.942028985507246,0.863366336633663,0.536285362853628,0.661608497723824
"10_9",0.7,497,325,0.942028985507246,0.871227364185111,0.53259532595326,0.661068702290076
"10_9",0.71,489,322,0.933333333333333,0.875255623721881,0.526445264452645,0.657450076804916
"10_9",0.72,483,321,0.930434782608696,0.87991718426501,0.522755227552276,0.655864197530864
"10_9",0.73,474,320,0.927536231884058,0.886075949367089,0.516605166051661,0.652680652680653
"10_9",0.74,465,320,0.927536231884058,0.890322580645161,0.509225092250922,0.647887323943662
"10_9",0.75,456,320,0.927536231884058,0.894736842105263,0.501845018450184,0.643026004728132
"10_9",0.76,440,318,0.921739130434783,0.913636363636364,0.494464944649447,0.641660015961692
"10_9",0.77,436,318,0.921739130434783,0.917431192660551,0.4920049200492,0.640512409927942
"10_9",0.78,432,316,0.915942028985507,0.921296296296296,0.489544895448954,0.639357429718875
"10_9",0.79,432,316,0.915942028985507,0.921296296296296,0.489544895448954,0.639357429718875
"10_9",0.8,426,316,0.915942028985507,0.922535211267606,0.483394833948339,0.634382566585956
"10_9",0.81,421,314,0.910144927536232,0.923990498812352,0.478474784747847,0.630470016207455
"10_9",0.82,415,312,0.904347826086957,0.927710843373494,0.473554735547355,0.627035830618893
"10_9",0.83,408,308,0.892753623188406,0.938725490196078,0.471094710947109,0.627354627354627
"10_9",0.84,403,307,0.889855072463768,0.937965260545906,0.464944649446494,0.621710526315789
"10_9",0.85,400,307,0.889855072463768,0.9375,0.461254612546125,0.618301731244848
"10_9",0.86,388,302,0.87536231884058,0.943298969072165,0.450184501845018,0.609492089925062
"10_9",0.87,379,300,0.869565217391304,0.944591029023747,0.440344403444034,0.600671140939597
"10_9",0.88,369,297,0.860869565217391,0.951219512195122,0.431734317343173,0.593908629441624
"10_9",0.89,360,294,0.852173913043478,0.958333333333333,0.424354243542435,0.588235294117647
"10_9",0.9,348,292,0.846376811594203,0.971264367816092,0.415744157441574,0.582256675279931
"10_9",0.91,338,289,0.83768115942029,0.970414201183432,0.403444034440344,0.569939183318853
"10_9",0.92,327,284,0.823188405797101,0.969418960244648,0.389913899138991,0.556140350877193
"10_9",0.93,318,281,0.814492753623188,0.971698113207547,0.380073800738007,0.546419098143236
"10_9",0.94,304,273,0.791304347826087,0.980263157894737,0.366543665436654,0.533572068039391
"10_9",0.95,281,259,0.750724637681159,0.98220640569395,0.339483394833948,0.504570383912249
"10_9",0.97,250,239,0.692753623188406,0.988,0.303813038130381,0.464722483537159
"10_9",0.99,173,171,0.495652173913044,1,0.212792127921279,0.350912778904665
"8_9",0.01,727,302,1,0.415405777166437,0.946708463949843,0.577437858508604
"8_9",0.02,573,301,0.996688741721854,0.518324607329843,0.931034482758621,0.665919282511211
